frame,xmin,xmax,ymin,ymax,class_id
1479505649956581237.jpg,22,110,132,187,1
1479505649956581237.jpg,232,248,141,154,1
1479505649956581237.jpg,251,266,143,154,1
1479505649956581237.jpg,269,280,142,154,1
1479505649956581237.jpg,329,355,142,166,1
1479505649956581237.jpg,346,397,142,171,1
1479505650957260361.jpg,238,251,139,151,1
1479505650957260361.jpg,249,256,141,149,1
1479505650957260361.jpg,256,270,142,153,1
1479505650957260361.jpg,276,289,140,150,1
1479505650957260361.jpg,315,338,139,146,1
1479505650957260361.jpg,383,402,142,158,1
1479505650957260361.jpg,398,470,141,186,1
1479505650957260361.jpg,448,478,139,191,1
1479505651457388906.jpg,240,253,140,152,1
1479505651457388906.jpg,259,273,142,153,1
1479505651457388906.jpg,280,296,140,154,1
1479505651457388906.jpg,406,455,144,160,1
1479505651457388906.jpg,427,442,143,167,3
1479505652436263106.jpg,247,262,138,155,1
1479505652436263106.jpg,264,279,142,155,1
1479505652436263106.jpg,289,305,140,154,1
1479505652436263106.jpg,333,363,137,145,1
1479505653456584883.jpg,256,272,139,151,1
1479505653456584883.jpg,272,286,143,153,1
1479505653456584883.jpg,299,324,139,156,1
1479505653456584883.jpg,349,385,138,154,1
1479505654456314625.jpg,208,223,140,148,1
1479505654456314625.jpg,272,286,140,153,1
1479505654456314625.jpg,287,301,143,155,1
1479505654456314625.jpg,315,343,138,160,1
1479505654456314625.jpg,373,422,137,159,1
1479505654956607817.jpg,262,277,138,146,1
1479505654956607817.jpg,281,297,133,149,1
1479505654956607817.jpg,297,313,138,149,1
1479505654956607817.jpg,325,361,131,157,1
1479505654956607817.jpg,393,454,129,156,1
1479505655956712168.jpg,152,169,138,145,1
1479505655956712168.jpg,180,197,138,145,1
1479505655956712168.jpg,200,218,138,147,1
1479505655956712168.jpg,238,260,141,152,1
1479505655956712168.jpg,301,320,138,152,1
1479505655956712168.jpg,320,334,142,152,1
1479505655956712168.jpg,329,338,142,151,1
1479505655956712168.jpg,346,364,139,156,1
1479505655956712168.jpg,353,372,142,163,1
1479505655956712168.jpg,369,425,132,170,1
1479505655956712168.jpg,448,479,129,160,1
1479505656956877029.jpg,104,124,135,145,1
1479505656956877029.jpg,114,132,137,147,1
1479505656956877029.jpg,153,175,138,148,1
1479505656956877029.jpg,179,195,139,147,1
1479505656956877029.jpg,192,217,141,151,1
1479505656956877029.jpg,247,263,141,151,1
1479505656956877029.jpg,312,331,139,153,1
1479505656956877029.jpg,334,351,142,154,1
1479505656956877029.jpg,359,370,141,155,1
1479505656956877029.jpg,364,377,144,160,1
1479505656956877029.jpg,370,401,139,166,1
1479505656956877029.jpg,394,444,143,175,1
1479505656956877029.jpg,424,476,141,180,1
1479505657956953172.jpg,0,24,136,147,1
1479505657956953172.jpg,57,74,137,145,1
1479505657956953172.jpg,116,144,139,148,1
1479505657956953172.jpg,219,236,140,150,1
1479505657956953172.jpg,315,331,140,153,1
1479505657956953172.jpg,337,350,143,153,1
1479505657956953172.jpg,358,379,139,158,1
1479505657956953172.jpg,386,416,143,170,1
1479505657956953172.jpg,405,472,137,176,1
1479505658959056172.jpg,0,21,134,145,1
1479505658959056172.jpg,20,50,133,148,1
1479505658959056172.jpg,83,120,137,150,1
1479505658959056172.jpg,119,163,130,148,2
1479505658959056172.jpg,184,205,140,151,1
1479505658959056172.jpg,318,335,139,154,1
1479505658959056172.jpg,341,355,143,153,1
1479505658959056172.jpg,360,374,139,154,1
1479505658959056172.jpg,366,398,137,163,1
1479505658959056172.jpg,416,432,143,156,1
1479505658959056172.jpg,428,457,142,159,1
1479505658959056172.jpg,461,479,139,154,1
1479505659460997522.jpg,17,45,136,149,1
1479505659460997522.jpg,73,90,134,152,1
1479505659460997522.jpg,92,143,129,149,2
1479505659460997522.jpg,167,186,140,152,1
1479505659460997522.jpg,205,212,142,155,3
1479505659460997522.jpg,319,337,140,154,1
1479505659460997522.jpg,343,358,142,153,1
1479505659460997522.jpg,362,384,138,155,1
1479505659460997522.jpg,376,424,135,167,1
1479505659460997522.jpg,426,449,142,158,1
1479505659460997522.jpg,447,479,140,162,1
1479505660457481144.jpg,23,85,132,149,2
1479505660457481144.jpg,110,145,137,155,1
1479505660457481144.jpg,152,163,141,158,3
1479505660457481144.jpg,229,243,142,153,1
1479505660457481144.jpg,319,337,139,153,1
1479505660457481144.jpg,344,359,141,151,1
1479505660457481144.jpg,361,372,140,156,1
1479505660457481144.jpg,368,397,135,162,1
1479505660457481144.jpg,410,442,143,172,1
1479505660457481144.jpg,431,478,125,181,1
1479505661456797641.jpg,27,80,138,155,1
1479505661456797641.jpg,84,95,139,162,3
1479505661456797641.jpg,289,304,144,151,1
1479505661456797641.jpg,320,338,139,152,1
1479505661456797641.jpg,333,342,143,150,1
1479505661456797641.jpg,343,358,142,153,1
1479505661456797641.jpg,361,383,143,159,1
1479505661456797641.jpg,389,446,131,169,1
1479505661957009001.jpg,2,29,136,158,1
1479505661957009001.jpg,25,37,140,168,3
1479505661957009001.jpg,26,49,139,160,1
1479505661957009001.jpg,126,136,138,154,3
1479505661957009001.jpg,275,291,142,152,1
1479505661957009001.jpg,319,339,139,153,1
1479505661957009001.jpg,343,356,142,152,1
1479505661957009001.jpg,364,390,143,162,1
1479505661957009001.jpg,417,479,129,179,1
